file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0772_0164_1174843_to_1184842,ང་ད་ལྟ་ག་གེ་གཅིག་མེད། ང་ག་གེ་གཅིག་མེད། རང་ལ་ད་དུང་མདུན་ལམ་བཟང་པོ་ཡོད་རེད། ཕོ་ཁྱོ་གའི་མི་ཚེའི་ནང་ལ་ཡ་ཐབས་སྡུག་ཤོས་དེ་དབུལ་ཕོངས་རེད། རང་གི་ད་ལྟའི་བསམ་ཚུལ་དེ་ངས་བསམ་ཤེས་ཐུབ་ཀིས།  ,nga da lta ga ge gcig med/_nga ga ge gcig med/_rang la da dung mdun lam bzang po yod red/_pho khyo ga'i mi tshe'i nang la ya thabs sdug shos de dbul phongs red/_rang gi da lta'i bsam tshul de ngas bsam shes thub kis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0772_0164_1174843_to_1184842.wav,STT_MV,2,176,9.999,wav16k/STT_MV0772_0164_1174843_to_1184842.wav,ང་ད་ལྟ་ག་གེ་གཅིག་མེད། ང་ག་གེ་གཅིག་མེད། རང་ལ་ད་དུང་མདུན་ལམ་བཟང་པོ་ཡོད་རེད། ཕོ་ཁྱོ་གའི་མི་ཚེའི་ནང་ལ་ཡ་ཐབས་སྡུ་ཤོས་དེ་དབུལ་ཕོངས་རེད། རང་གི་ད་དུང་བསམ་ཚུལ་དེ་ངས་བསམ་ཤེས་ཐུབ་ཀིས།
STT_MV0772_0165_1188097_to_1196180,རང་གིས་ཡུན་ཧན་ཡུས་མནའ་མར་ལེན་མ་ཐུབ་པ་དེ་རང་གི་བསོད་ནམས་རེད། དངོས་གནས་མོ་དང་ཆང་ས་བརྒྱབ་པ་ཡིན་ན། མོའི་སེམས་ནང་ལ་ཡ་ཁྱོ་ག་གཞན་ད་ཡོད་པ་ངས་ཁས་ལེན་བྱས་བཤད་ཐུབ་པ།  ,rang gis yun han yus mna' mar len ma thub pa de rang gi bsod nams red/_dngos gnas mo dang chang sa brgyab pa yin na/_mo'i sems nang la ya khyo ga gzhan da yod pa ngas khas len byas bshad thub pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0772_0165_1188097_to_1196180.wav,STT_MV,2,156,8.083,wav16k/STT_MV0772_0165_1188097_to_1196180.wav,རང་གིས་ཡུན་ཧའ་ཡུས་མནའ་མར་ལེན་མ་ཐུབ་པ་དེ་རང་གི་བསོད་ནམས་རེད། དངོས་གནས་མོ་དང་ཆང་ས་བརྒྱབ་པ་ཡིན་ན། མོའི་སེམས་ནང་ལ་ཡ་ཁྱོ་ག་གཞན་དག་ཡོད་པ། ངས་ཁས་ལེན་བྱས་བཤད་ཐུབ་པ།
STT_MV0772_0166_1196180_to_1198262,རང་མི་ཚེ་གཅིག་སྐྱིད་པོ་ཡོང་གི་མ་རེད།  ,rang mi tshe gcig skyid po yong gi ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0772_0166_1196180_to_1198262.wav,STT_MV,2,38,2.082,wav16k/STT_MV0772_0166_1196180_to_1198262.wav,རང་མི་ཚེ་གཅིག་སྐྱིད་པོ་ཡོང་གི་མ་རེད།
STT_MV0772_0167_1198262_to_1200451,འཚོ་བ་ག་འདྲས་བསྐྱལ་ནས་སྐྱིད་པོ་ཡོད་མ་རེད།  ,'tsho ba ga 'dras bskyal nas skyid po yod ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0772_0167_1198262_to_1200451.wav,STT_MV,2,43,2.189,wav16k/STT_MV0772_0167_1198262_to_1200451.wav,འཚོ་བ་ག་འདྲས་སེ་སྐྱེལ་ནས་སྐྱིད་པོ་ཡོད་མ་རེད།
STT_MV0772_0168_1200451_to_1209014,ལས་འཛིན་སྤྱི་འདོམས་པ་ལགས། སྲས་མོ་ཞའོ་ཡན་ལགས་ཀི་ཨ་མ་ལགས་དང་།  ,las 'dzin spyi 'doms pa lags/_sras mo zha'o yan lags ki a ma lags dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0772_0168_1200451_to_1209014.wav,STT_MV,2,61,8.563,wav16k/STT_MV0772_0168_1200451_to_1209014.wav,ལས་འཛད་སྤྱི་འདོམས་པ་ལགས། སྲས་མོ་ཞའོ་ཡེ་ལགས་ཀི་ཨ་མ་ལགས་དང་།
STT_MV0772_0169_1209014_to_1211557,ཞའོ་ཡན་གི་ཨ་མའི་གོང་ལ་ཡ་ ,zha'o yan gi a ma'i gong la ya _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0772_0169_1209014_to_1211557.wav,STT_MV,2,25,2.543,wav16k/STT_MV0772_0169_1209014_to_1211557.wav,ཞའོ་ཡན་གི་ཨ་མའི་གོང་ལ་ཡ་
STT_MV0772_0170_1211557_to_1219124,ངར་བཟའ་ཟླ་གཅིག་ཡོད། ཆང་ས་མ་བརྒྱབ་གོང་ལ་ཡ་མོ་རང་ལ་སྙིང་གྲོགས་ཤིག་འདུག ངས་དེ་ག་བར་ཤེས་ཀི་རེད་ཨ།  ,ngar bza' zla gcig yod/_chang sa ma brgyab gong la ya mo rang la snying grogs shig 'dug_ngas de ga bar shes ki red a/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0772_0170_1211557_to_1219124.wav,STT_MV,2,95,7.567,wav16k/STT_MV0772_0170_1211557_to_1219124.wav,ང་བཟའ་ཟླ་གཅིག་ཡོད། ཆང་ས་མ་བརྒྱབ་གོང་ལ་ཡ་ མོ་རང་ལ་སྙིང་གྲོགས་ཤིག་འདུག ངས་དེ་ག་བར་ཤེས་ཀི་རེད་ཨ།
STT_MV0772_0183_1292566_to_1293947,གེ་བྱེད་ཀི་མ་རེད།  ,ge byed ki ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0772_0183_1292566_to_1293947.wav,STT_MV,2,19,1.381,wav16k/STT_MV0772_0183_1292566_to_1293947.wav,གེ་བྱེད་ཀི་མ་རེད།
STT_MV0772_0184_1293947_to_1299857,ང་ཚོས་མཐུན་སྦྱོར་གསལ་བཤད་ཚོགས་འདུ་ཞིག་འཚོགས་ཆོག་གི་རེད། ཁོར་ཡུག་དཔྱད་དཔོག་གིས་མོས་མཐུན་བྱས་མི་འདུག ཚད་གཞི་ལོན་ཤག ཡིན་ནས་ཁྱབ་བསྒྲགས་བྱེད་རྒྱུ་རེད་སེ་ལབ་དགོས་རེད།  ,nga tshos mthun sbyor gsal bshad tshogs 'du zhig 'tshogs chog gi red/_khor yug dpyad dpog gis mos mthun byas mi 'dug_tshad gzhi lon shag_yin nas khyab bsgrags byed rgyu red se lab dgos red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0772_0184_1293947_to_1299857.wav,STT_MV,2,162,5.91,wav16k/STT_MV0772_0184_1293947_to_1299857.wav,ང་ཚོས་མཐུན་རྐྱར་གསལ་བཤད་ཚོགས་འདུ་ཞིག་འཚོགས་ཆོག་གི་རེད། ཁོ་ར་ཡུག་དཔྱད་དཔག་མོས་མཐུན་བྱད་མི་འདུག་ག ཚལ་གཞི་ལོན་ཤག ཡིན་ནས་ཁྱབ་བསྒྲགས་བྱེད་རྒྱུ་རེད་སེ་ལབ་དགོས་རེད།
STT_MV0772_0185_1299857_to_1304510,ང་ཚོས་ཚོགས་འདུའི་སྒང་ལ་ཡ་སྡེ་ཁུལ་གི་མི་ཚང་དེ་ཚོར་ཐུགས་ཆེ་ལེགས་འབུལ་ཆེད་དུ།  ,nga tshos tshogs 'du'i sgang la ya sde khul gi mi tshang de tshor thugs che legs 'bul ched du/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0772_0185_1299857_to_1304510.wav,STT_MV,2,76,4.653,wav16k/STT_MV0772_0185_1299857_to_1304510.wav,ང་ཚོས་ཚོགས་འདུའི་སྒང་ལ་ཡ།སྡོད་ྒུལ་གི་མི་ཚང་དེ་ཚོ་ཐུགས་ཆེ་ལེགས་འགུལ་ཆེད་དུ་
